Species,12/28/11,4/3/12,8/7/12,11/6/12,1/26/13,2/8/13,2/5/13,3/24/13,4/7/13,4/29/13,7/14/13,9/3/13,9/24/13,11/10/13,12/14/13,1/19/14,2/17/14,3/23/14,5/4/14,6/16/14,7/24/14,8/22/14,8/25/14,9/28/14,11/16/14,12/7/14,12/17/14,1/6/15,1/14/15,1/25/15,2/8/15,2/23/15,3/8/15,3/24/15,4/4/15,4/19/15,5/3/15,5/31/15,6/14/15,7/8/15,7/9/15,7/10/15,7/11/15,7/12/15,7/15/15,7/19/15,7/26/15,8/23/15,9/6/15,9/16/15,10/11/15,11/8/15,11/22/15,12/27/15,1/10/16,1/24/16,2/7/16,2/28/16,3/13/16,3/27/16,4/24/16,5/8/16,5/22/16,6/5/16,6/15/16,6/19/16,6/26/16,7/3/16,7/19/16,7/31/16,8/14/16,9/4/16,9/11/16,10/8/16,10/17/16,10/26/16,11/5/16,11/9/16,11/10/16,11/13/16,11/20/16,11/27/16,12/1/16,12/3/16,12/4/16,12/11/16,12/17/16,12/25/16,1/1/17,1/8/17,1/15/17,1/22/17,1/31/17,2/11/17,2/26/17,3/13/17,4/16/17,4/30/17,5/14/17,5/28/17,6/25/17,7/17/17,8/13/17,9/16/17,10/15/17,10/25/17,11/9/17,12/3/17,12/10/17,12/31/17,1/14/18,1/24/18,2/12/18,2/25/18,3/10/18,3/26/18,4/8/18,4/20/18,5/13/18,5/27/18,6/10/18,6/24/18,7/1/18,7/17/18,7/18/18,7/29/18,8/11/18,8/25/18,8/31/18,9/1/18,9/18/18,9/19/18,9/24/18,9/29/18,10/3/18,10/7/18,10/17/18,11/4/18,11/14/18,11/24/18,12/1/18,12/12/18,12/25/18,1/13/19,1/27/19,2/10/19,2/24/19,3/18/19,3/31/19,4/14/19,4/28/19,5/12/19,5/19/19,6/2/19,6/16/19,6/23/19,7/14/19,7/28/19,8/11/19
Erysipelotrichaceae_bacterium_6_1_45,0.012,0.001,0.031,0.003,0.001,0.003,,0.0,0.003,0.001,0.0,0.0,0.001,0.0,0.002,0.004,,0.0,0.044,0.0,,0.004,0.046,0.001,0.001,0.022,0.0,0.008,0.006,0.001,0.001,0.002,0.007,0.069,0.006,0.059,0.066,0.066,0.135,0.008,0.0,0.003,0.051,0.0,0.001,0.005,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escherichia_coli,21.128,42.647,12.841,34.257,0.1,0.335,,0.247,2.737,0.239,15.942,32.292,40.165,28.116,25.772,0.806,,19.868,27.168,20.893,,9.116,10.241,21.402,17.245,6.251,0.229,1.296,0.779,0.147,0.188,0.031,0.023,1.922,0.115,0.853,0.502,0.502,2.27,0.119,0.184,3.241,1.893,2.64,0.246,0.481,0.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escherichia_unclassified,3.863,9.33,2.254,7.344,0.029,0.868,,0.082,1.291,0.059,3.854,9.498,9.61,6.75,4.956,0.0,,4.096,6.466,3.888,,3.379,5.763,4.28,3.523,0.923,0.0,0.293,0.147,0.032,0.047,0.01,0.024,0.141,0.069,0.169,0.102,0.102,0.312,0.082,0.0,1.379,0.467,0.711,0.155,0.134,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eubacterium_eligens,1.075,2.387,1.537,1.272,0.518,3.682,,2.86,1.158,2.158,2.326,8.521,9.615,11.445,2.024,2.784,,3.098,0.902,5.668,,4.163,3.494,2.748,5.312,3.86,2.041,0.466,1.784,2.458,1.803,2.409,3.503,2.159,2.829,1.757,5.43,5.43,0.692,0.235,4.172,1.851,2.247,3.141,2.696,3.056,0.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eubacterium_hallii,0.505,0.289,1.933,0.489,0.396,0.263,,0.165,0.328,0.822,0.301,0.299,0.492,0.218,0.26,0.168,,0.277,0.293,0.259,,1.616,1.154,0.277,0.378,0.855,0.378,0.26,0.26,0.458,0.346,1.243,1.291,1.133,1.466,0.304,1.061,1.061,1.56,1.267,1.2,0.65,1.126,0.524,0.451,1.08,1.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eubacterium_infirmum,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eubacterium_limosum,0.0,0.001,0.001,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,,0.0,0.0,0.0,,0.001,0.003,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.003,0.0,0.004,0.004,0.001,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eubacterium_ramulus,0.036,0.103,0.325,0.094,0.046,0.07,,0.044,0.067,0.094,0.075,0.087,0.049,0.046,0.106,0.104,,0.134,0.163,0.113,,0.584,0.229,0.19,0.207,0.411,0.059,0.067,0.039,0.188,0.11,0.29,0.346,0.223,0.396,0.199,0.422,0.422,0.181,1.07,0.435,0.353,0.378,0.14,0.116,0.322,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eubacterium_rectale,0.733,0.311,1.583,0.937,0.277,0.298,,0.988,1.067,4.926,0.081,2.512,0.784,1.387,5.2,1.558,,0.114,1.432,1.27,,6.793,0.494,3.886,0.062,0.937,9.095,2.989,2.253,0.428,14.102,14.284,6.791,0.513,10.305,1.316,15.448,15.448,5.388,0.151,1.875,1.749,1.18,0.898,4.334,0.3,1.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eubacterium_siraeum,2.166,3.628,2.759,1.985,4.599,4.953,,8.2,7.275,4.182,10.698,8.351,3.185,8.854,3.932,1.656,,2.956,0.844,2.963,,3.979,0.699,5.588,3.965,2.271,2.444,0.771,3.765,2.048,2.416,4.796,3.608,2.339,7.48,1.687,3.736,3.736,1.148,0.131,0.178,0.238,0.932,3.882,5.251,5.262,3.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eubacterium_ventriosum,0.012,0.023,0.068,0.002,0.029,0.006,,0.004,0.037,0.03,0.006,0.02,0.009,0.006,0.007,0.004,,0.0,0.0,0.004,,0.004,0.0,0.008,0.012,0.016,0.004,0.056,0.012,0.0,0.009,0.031,0.042,0.01,0.098,0.006,0.017,0.017,0.025,0.002,0.03,0.0,0.019,0.01,0.045,0.016,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faecalibacterium_prausnitzii,1.048,3.109,4.231,4.168,4.259,6.741,,8.117,8.043,10.343,6.761,7.624,6.941,5.323,4.982,2.124,,6.354,2.361,3.682,,10.9,5.577,9.024,8.45,11.3,5.451,3.004,4.549,3.699,5.826,11.798,9.47,7.183,15.622,5.279,8.121,8.121,4.88,11.064,10.72,8.56,9.564,6.864,6.222,11.128,10.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flavonifractor_plautii,0.0,0.0,0.0,0.0,0.0,0.0,,0.002,0.0,0.002,0.008,0.008,0.003,0.007,0.0,0.003,,0.002,0.004,0.003,,0.0,0.003,0.0,0.005,0.003,0.003,0.003,0.0,0.005,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.001,0.02,0.008,0.004,0.0,0.008,0.0,0.0,0.005,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fusobacterium_nucleatum,0.739,0.046,0.008,0.0,0.019,0.361,,0.091,1.713,0.152,0.049,0.018,0.007,0.004,0.012,0.31,,0.02,0.152,0.012,,0.072,0.013,0.008,0.311,0.02,0.196,0.181,0.072,0.09,0.052,0.0,0.018,0.361,0.006,1.209,0.091,0.091,0.241,0.075,0.033,1.176,0.696,0.532,0.022,0.156,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fusobacterium_periodonticum,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.005,0.0,,0.0,0.0,0.0,0.001,0.0,0.013,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fusobacterium_ulcerans,0.146,0.0,0.003,0.0,0.0,0.075,,0.042,0.066,0.027,0.006,0.001,0.0,0.0,0.0,0.083,,0.0,0.05,0.0,,0.013,0.022,0.0,0.065,0.0,0.009,0.007,0.005,0.014,0.0,0.0,0.0,0.084,0.0,0.161,0.038,0.038,0.121,0.0,0.002,0.092,0.109,0.036,0.0,0.035,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemella_morbillorum,0.049,0.006,0.005,0.0,0.0,0.074,,0.013,0.185,0.028,0.014,0.001,0.002,0.0,0.0,0.041,,0.0,0.02,0.0,,0.007,0.01,0.0,0.024,0.0,0.006,0.023,0.009,0.001,0.001,0.0,0.002,0.071,0.0,0.083,0.021,0.021,0.205,0.062,0.009,0.311,0.223,0.121,0.001,0.018,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gordonibacter_pamelaeae,0.001,0.0,0.012,0.004,0.0,0.0,,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.004,,0.0,0.013,0.0,,0.003,0.007,0.0,0.0,0.002,0.0,0.003,0.0,0.003,0.001,0.007,0.009,0.006,0.01,0.0,0.004,0.004,0.013,0.004,0.003,0.0,0.022,0.005,0.002,0.007,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granulicatella_adiacens,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.062,0.0,0.056,0.014,0.014,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haemophilus_parainfluenzae,0.0,0.007,0.0,0.0,0.029,0.0,,0.088,0.026,0.006,0.0,0.003,0.018,0.001,0.0,0.01,,0.002,0.0,0.0,,0.0,0.0,0.011,0.007,0.0,0.023,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.024,0.09,0.005,0.0,0.004,0.03,0.014,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hafnia_alvei,0.0,0.0,0.0,0.0,0.0,0.0,,0.051,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holdemania_filiformis,0.094,0.0,0.034,0.062,0.035,0.046,,0.044,0.012,0.033,0.052,0.044,0.07,0.061,0.188,0.15,,0.037,0.032,0.052,,0.036,0.036,0.027,0.042,0.049,0.019,0.013,0.043,0.052,0.029,0.025,0.025,0.06,0.028,0.026,0.028,0.028,0.018,0.04,0.016,0.0,0.015,0.014,0.014,0.049,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holdemania_unclassified,0.0,0.0,0.0,0.0,0.0,0.001,,0.0,0.008,0.0,0.001,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.008,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.003,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klebsiella_oxytoca,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,1.221,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klebsiella_pneumoniae,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.676,4.468,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.221,5.139,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klebsiella_unclassified,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.727,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lachnospiraceae_bacterium_1_1_57FAA,0.045,0.0,0.732,0.0,0.042,0.078,,0.0,0.016,0.0,0.01,0.004,0.004,0.011,1.009,5.525,,0.025,0.0,0.115,,0.38,0.0,2.014,0.258,0.39,0.101,0.083,0.055,0.0,0.105,0.17,0.0,0.0,0.168,0.188,0.112,0.112,0.079,0.034,0.041,0.0,0.0,0.0,0.017,0.192,0.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lachnospiraceae_bacterium_3_1_46FAA,0.102,0.974,0.209,0.061,0.284,0.111,,0.638,0.331,0.306,0.044,0.149,0.036,0.057,0.04,0.061,,0.113,0.068,0.099,,0.226,0.02,0.127,0.154,0.241,0.161,0.023,0.118,0.085,0.208,0.221,0.198,0.016,0.408,0.01,0.017,0.017,0.045,0.267,0.138,0.107,0.112,0.074,0.136,0.287,0.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lachnospiraceae_bacterium_3_1_57FAA_CT1,0.055,0.017,0.049,0.025,0.033,0.044,,0.092,0.015,0.005,0.022,0.01,0.0,0.0,0.019,0.195,,0.021,0.053,0.016,,0.025,0.28,0.007,0.014,0.079,0.015,0.04,0.008,0.077,0.02,0.006,0.065,0.312,0.018,0.237,0.063,0.063,0.911,0.041,0.0,0.057,0.065,0.017,0.012,0.04,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lachnospiraceae_bacterium_5_1_57FAA,0.01,0.002,0.005,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,,0.0,0.0,0.0,,0.0,0.009,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.005,0.0,0.001,0.001,0.004,0.007,0.0,,,,,0.004,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lachnospiraceae_bacterium_5_1_63FAA,0.096,0.061,0.297,0.064,0.197,0.133,,0.067,0.141,0.18,0.126,0.088,0.043,0.032,0.054,0.265,,0.139,0.07,0.098,,0.549,0.288,0.135,0.124,0.316,0.111,0.122,0.112,0.158,0.141,0.666,0.321,0.346,0.404,0.109,0.283,0.283,0.318,0.675,0.361,0.235,0.345,0.195,0.12,0.173,0.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lachnospiraceae_bacterium_7_1_58FAA,0.032,0.019,0.035,0.071,0.072,0.08,,0.083,0.064,0.068,0.117,0.063,0.058,0.078,0.051,0.051,,0.089,0.071,0.087,,0.04,0.04,0.066,0.106,0.107,0.075,0.053,0.062,0.113,0.088,0.07,0.062,0.035,0.072,0.047,0.065,0.065,0.065,0.052,0.042,0.045,0.062,0.091,0.08,0.195,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lachnospiraceae_bacterium_8_1_57FAA,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.059,0.045,0.069,0.0,0.0,,0.079,0.0,0.0,,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171,0.187,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactobacillus_acidophilus,0.033,0.004,0.01,0.001,0.004,0.0,,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactobacillus_casei_paracasei,0.042,0.0,0.0,0.002,0.0,0.007,,0.0,0.0,0.0,0.0,0.0,0.019,0.012,0.0,0.0,,0.0,0.024,0.0,,0.0,0.0,0.0,0.0,0.0,0.019,0.016,0.006,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.165,0.005,0.0,0.008,0.044,0.0,0.001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactobacillus_helveticus,0.0,0.0,0.04,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactococcus_lactis,0.0,0.0,0.002,0.01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactococcus_phage_P680,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leuconostoc_unclassified,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvinbryantia_formatexigens,0.0,0.006,0.014,0.006,0.001,0.0,,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.009,0.008,,0.002,0.003,0.004,,0.004,0.003,0.0,0.0,0.005,0.0,0.0,0.003,0.0,0.003,0.008,0.001,0.019,0.013,0.0,0.011,0.011,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanobrevibacter_smithii,14.823,6.11,2.448,4.557,0.44,0.378,,0.228,0.208,0.447,0.091,0.378,0.261,0.11,0.391,0.372,,0.2,0.571,0.177,,0.693,1.092,0.274,0.372,0.391,0.191,0.24,0.484,0.514,0.545,0.927,0.946,1.39,1.187,0.362,0.602,0.602,1.606,0.204,0.009,0.109,0.214,0.148,0.218,0.78,1.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanobrevibacter_unclassified,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.008,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.002,0.0,0.0,0.0,0.0,0.033,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
